age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1.000000,0.057458,0.057458,0.942542,0.942542,200
11.045226,0.059542,0.059542,0.940458,0.940458,200
21.090452,0.061875,0.061875,0.938125,0.938125,200
31.135678,0.064250,0.064250,0.935750,0.935750,200
41.180905,0.066542,0.066542,0.933458,0.933458,200
51.226131,0.069958,0.069958,0.930042,0.930042,200
61.271357,0.072583,0.072583,0.927417,0.927417,200
71.316583,0.075625,0.075625,0.924375,0.924375,200
81.361809,0.078500,0.078500,0.921500,0.921500,200
91.407035,0.082292,0.082292,0.917708,0.917708,200
101.452261,0.085500,0.085500,0.914500,0.914500,200
111.497487,0.088000,0.088000,0.912000,0.912000,200
121.542714,0.090875,0.090875,0.909125,0.909125,200
131.587940,0.094458,0.094458,0.905542,0.905542,200
141.633166,0.098542,0.098542,0.901458,0.901458,200
151.678392,0.102250,0.102250,0.897750,0.897750,200
161.723618,0.107125,0.107125,0.892875,0.892875,200
171.768844,0.113042,0.113042,0.886958,0.886958,200
181.814070,0.119667,0.119667,0.880333,0.880333,200
191.859296,0.126292,0.126292,0.873708,0.873708,200
201.904523,0.135083,0.135083,0.864917,0.864917,200
211.949749,0.145250,0.145250,0.854750,0.854750,200
221.994975,0.159333,0.159333,0.840667,0.840667,200
232.040201,0.174042,0.174042,0.825958,0.825958,200
242.085427,0.193125,0.193125,0.806875,0.806875,200
252.130653,0.216583,0.216583,0.783417,0.783417,200
262.175879,0.245083,0.245083,0.754917,0.754917,200
272.221106,0.286250,0.286250,0.713750,0.713750,200
282.266332,0.351083,0.351083,0.648917,0.648917,200
292.311558,0.453583,0.453583,0.546417,0.546417,200
302.356784,0.497125,0.497125,0.502875,0.502875,200
312.402010,0.499750,0.499750,0.500250,0.500250,200
322.447236,0.499958,0.499958,0.500042,0.500042,200
332.492462,0.499958,0.499958,0.500042,0.500042,200
342.537688,0.500000,0.500000,0.500000,0.500000,200
352.582915,0.500083,0.500083,0.499917,0.499917,200
362.628141,0.500083,0.500083,0.499917,0.499917,200
372.673367,0.500083,0.500083,0.499917,0.499917,200
382.718593,0.500125,0.500125,0.499875,0.499875,200
392.763819,0.500167,0.500167,0.499833,0.499833,200
402.809045,0.500167,0.500167,0.499833,0.499833,200
412.854271,0.500167,0.500167,0.499833,0.499833,200
422.899497,0.500208,0.500208,0.499792,0.499792,200
432.944724,0.500208,0.500208,0.499792,0.499792,200
442.989950,0.500208,0.500208,0.499792,0.499792,200
453.035176,0.500208,0.500208,0.499792,0.499792,200
463.080402,0.498927,0.497667,0.501073,0.502333,200
473.125628,0.493743,0.487417,0.506257,0.512583,200
483.170854,0.491454,0.482958,0.508546,0.517042,200
493.216080,0.489536,0.479292,0.510464,0.520708,200
503.261307,0.483915,0.468667,0.516085,0.531333,200
513.306533,0.473224,0.449000,0.526776,0.551000,200
523.351759,0.467127,0.438125,0.532873,0.561875,200
533.396985,0.462458,0.429917,0.537542,0.570083,200
543.442211,0.456934,0.420458,0.543066,0.579542,200
553.487437,0.451950,0.412083,0.548050,0.587917,200
563.532663,0.445710,0.401833,0.554290,0.598167,200
573.577889,0.437839,0.389208,0.562161,0.610792,200
583.623116,0.432686,0.381125,0.567314,0.618875,200
593.668342,0.430056,0.377042,0.569944,0.622958,200
603.713568,0.429269,0.375792,0.570731,0.624208,200
613.758794,0.428999,0.375375,0.571001,0.624625,200
623.804020,0.428010,0.373875,0.571990,0.626125,200
633.849246,0.423639,0.367292,0.576361,0.632708,200
643.894472,0.413848,0.352833,0.586152,0.647167,200
653.939698,0.406856,0.342750,0.593144,0.657250,200
663.984925,0.399445,0.332375,0.600555,0.667625,200
674.030151,0.391849,0.321958,0.608151,0.678042,200
684.075377,0.389234,0.318417,0.610766,0.681583,200
694.120603,0.388040,0.316792,0.611960,0.683208,200
704.165829,0.387370,0.315875,0.612630,0.684125,200
714.211055,0.385177,0.312958,0.614823,0.687042,200
724.256281,0.380338,0.306625,0.619662,0.693375,200
734.301508,0.376557,0.301708,0.623443,0.698292,200
744.346734,0.375851,0.300792,0.624149,0.699208,200
754.391960,0.375676,0.300542,0.624324,0.699458,200
764.437186,0.373972,0.298375,0.626028,0.701625,200
774.482412,0.368684,0.291708,0.631316,0.708292,200
784.527638,0.365188,0.287333,0.634812,0.712667,200
794.572864,0.361742,0.283042,0.638258,0.716958,200
804.618090,0.357873,0.278305,0.642127,0.721695,200
814.663317,0.354591,0.274346,0.645409,0.725654,200
824.708543,0.352036,0.271234,0.647964,0.728766,200
834.753769,0.350518,0.269401,0.649482,0.730599,200
844.798995,0.349627,0.268317,0.650373,0.731683,200
854.844221,0.349136,0.267704,0.650864,0.732296,200
864.889447,0.347697,0.265954,0.652303,0.734046,200
874.934673,0.346072,0.263994,0.653928,0.736006,200
884.979899,0.344299,0.261910,0.655701,0.738090,200
895.025126,0.342702,0.260034,0.657298,0.739966,200
905.070352,0.341402,0.258493,0.658598,0.741507,200
915.115578,0.339816,0.256658,0.660184,0.743342,200
925.160804,0.337841,0.254325,0.662159,0.745675,200
935.206030,0.336290,0.252531,0.663710,0.747469,200
945.251256,0.335734,0.251844,0.664266,0.748156,200
955.296482,0.335437,0.251510,0.664563,0.748490,200
965.341709,0.334540,0.250510,0.665460,0.749490,200
975.386935,0.332642,0.248352,0.667358,0.751648,200
985.432161,0.329022,0.244320,0.670978,0.755680,200
995.477387,0.325484,0.240356,0.674516,0.759644,200
1005.522613,0.322461,0.237017,0.677539,0.762983,200
1015.567839,0.320034,0.234346,0.679966,0.765654,200
1025.613065,0.317785,0.231853,0.682215,0.768147,200
1035.658291,0.315385,0.229268,0.684615,0.770732,200
1045.703518,0.310224,0.223803,0.689776,0.776197,200
1055.748744,0.303702,0.217003,0.696298,0.782997,200
1065.793970,0.297598,0.210707,0.702402,0.789293,200
1075.839196,0.290171,0.203117,0.709829,0.796883,200
1085.884422,0.284768,0.197694,0.715232,0.802306,200
1095.929648,0.283290,0.196147,0.716710,0.803853,200
