dataset,missing_sample_id,priority,latitude,longitude,analysis_type_hint,site_or_geochronid_hint,originator_hint,reference_hint,nearest_ims_sample_id,nearest_ims_sources,nearest_ims_distance_m,alias_candidate_count,alias_candidate_examples,recommended_next_step
GSWA Geochronology,178067,HIGH,-28.34728600,119.75070000,U-PB ZIRCON,178067.1,NELSON D.R.,"NELSON, DR 2005, 178067: RECRYSTALLIZED SANDSTONE, FOUR CORNERS BORE; GEOCHRONOLOGY RECORD 594: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",178068,GSWA IMS spots,103.6,0,,Check nearest IMS sample at same locality for rename/suffix differences.
GSWA Geochronology,178060,HIGH,-27.87700600,119.35066000,U-PB ZIRCON,178060.1,NELSON D.R.,"NELSON, DR 2005, 178060: BIOTITE MONZOGRANITE, SANDSTONE; GEOCHRONOLOGY RECORD 587: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",177927,GSWA IMS spots,180.4,0,,Check nearest IMS sample at same locality for rename/suffix differences.
GSWA Geochronology,178062,HIGH,-27.74251600,119.33721000,U-PB ZIRCON,178062.1,NELSON D.R.,"NELSON, DR 2005, 178062: FOLIATED BIOTITE MONZOGRANITE, WIZARD BORE; GEOCHRONOLOGY RECORD 589: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",178061,GSWA IMS spots,318.8,0,,Check nearest IMS sample at same locality for rename/suffix differences.
GSWA Geochronology,195833,HIGH,-25.50542600,121.78063900,U-PB ZIRCON,195833.1,JOHNSON S.P.,"FIELDING, IOH, WINGATE, MTD, FLETCHER, IR, RASMUSSEN, B, ZI, J-W AND JOHNSON, SP 2022, 195833: SANDSTONE, SYDNEY HEADS PASS; GEOCHRONOLOGY RECORD 1863: GEOLOGICAL SURVEY OF WEST...",205570,GSWA IMS spots,452.6,0,,Check nearest IMS sample at same locality for rename/suffix differences.
GSWA Geochronology,165365,MEDIUM,-28.04852600,119.49961000,U-PB ZIRCON,165365.1,CHEN S.F.,"NELSON, DR 2004, 165365: FOLIATED BIOTITE GRANODIORITE, COOMB BORE; GEOCHRONOLOGY RECORD 218: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 4P.",178056,GSWA IMS spots,632.3,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,248205,MEDIUM,-31.51297600,116.20593100,U-PB ZIRCON,248205.1,IVANIC T.J.,"WINGATE, MTD, FIELDING, IOH, LU, Y AND IVANIC, TJ 2022, 248205: SILICICLASTIC SCHIST, JULIMAR PROSPECT; GEOCHRONOLOGY RECORD 1899: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 8P.",203747,GSWA IMS spots,750.0,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,178010,MEDIUM,-21.68895600,120.62126000,U-PB ZIRCON,178010.1,NELSON D.R.,"NELSON, DR 2005, 178010: LITHIC-QUARTZ SANDSTONE, MOUNT OLIVE; GEOCHRONOLOGY RECORD 549: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 5P.",177252,GSWA IMS spots,982.6,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,185997,MEDIUM,-29.05400600,118.13863000,U-PB ZIRCON,185997.1,WINGATE M.T.D.,"WINGATE, MTD, KIRKLAND, CL AND IVANIC, TJ 2015, 185997: GRANITIC GNEISS, TANDYS BORE; GEOCHRONOLOGY RECORD 1229: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, 3P.",185996,GSWA IMS spots,1057.4,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,203735,MEDIUM,-31.30810300,121.76118500,U-PB ZIRCON,203735.1,SMITHIES R.H.,"WINGATE, MTD, FIELDING, IOH, LU, Y, CASSIDY, KF AND SMITHIES, RH 2022, 203735: PORPHYRITIC METAGRANODIORITE, LAKE LEFROY; GEOCHRONOLOGY RECORD 1880: GEOLOGICAL SURVEY OF WESTERN...",229913,GSWA IMS spots,1260.3,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,214139,MEDIUM,-28.46849700,116.73902100,SHRIMP U-PB ZIRCON,214139.1,TOMKINS A.E.,"FIELDING, IOH, LU, Y, WINGATE, MTD AND ZIBRA, I 2023, 214139: MONZOGRANITE GNEISS, JOKER WELL; GEOCHRONOLOGY RECORD 1906: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA GEOLOGY ONLI...",214101,GSWA IMS spots,1477.2,0,,Check nearby IMS samples and reference docs for same site/project.
GSWA Geochronology,214138,MEDIUM,-28.46899700,116.73834100,SHRIMP U-PB ZIRCON,214138.1,TOMKINS A.E.,"FIELDING, IOH, LU, Y, WINGATE, MTD AND ZIBRA, I 2023, 214138: GRANODIORITE GNEISS, JOKER WELL; GEOCHRONOLOGY RECORD 1905: GEOLOGICAL SURVEY OF WESTERN AUSTRALIA, WA GEOLOGY ONLI...",214101,GSWA IMS spots,1516.5,0,,Check nearby IMS samples and reference docs for same site/project.
