sample_id,geochronid,analysis_document,group_id,spot_no,grain_spot,u238_ppm,th232_ppm,th232_u238,f204_pct,u238_pb206_ratio,u238_pb206_ratio_1sigma,pb207_pb206_ratio,pb207_pb206_ratio_1sigma,u238_pb206_star_ratio,u238_pb206_star_ratio_1sigma,pb207_star_pb206_star_ratio,pb207_star_pb206_star_ratio_1sigma,u238_pb206_star_date_ma,u238_pb206_star_date_1sigma_ma,pb207_star_pb206_star_date_ma,pb207_star_pb206_star_date_1sigma_ma,disc_pct
194754,194754.1,194754.1.pdf,I,13,11.1,49,64,1.29,0.060,1.982,0.028,0.17582,0.00142,1.983,0.028,0.17528,0.00147,2633,31,2609,14,-0.9
194754,194754.1,194754.1.pdf,I,7,5.3,101,60,0.60,0.029,1.990,0.021,0.17560,0.00098,1.990,0.021,0.17534,0.00100,2625,23,2609,9,-0.6
194754,194754.1,194754.1.pdf,I,16,14.1,160,97,0.60,0.052,2.044,0.018,0.17646,0.00077,2.045,0.018,0.17599,0.00079,2567,19,2615,7,1.9
194754,194754.1,194754.1.pdf,I,19,17.1,69,44,0.65,0.064,2.016,0.027,0.17665,0.00121,2.017,0.027,0.17608,0.00125,2596,28,2616,12,0.8
194754,194754.1,194754.1.pdf,I,4,4.1,106,79,0.75,-0.014,1.999,0.021,0.17598,0.00095,1.998,0.021,0.17610,0.00096,2616,23,2617,9,0.0
194754,194754.1,194754.1.pdf,I,3,3.1,69,60,0.88,0.131,2.025,0.025,0.17731,0.00121,2.027,0.025,0.17614,0.00131,2585,27,2617,12,1.2
194754,194754.1,194754.1.pdf,I,8,6.1,213,530,2.49,0.007,2.049,0.017,0.17636,0.00070,2.049,0.017,0.17630,0.00070,2562,18,2618,7,2.1
194754,194754.1,194754.1.pdf,I,1,1.1,79,79,1.01,0.019,2.013,0.024,0.17654,0.00114,2.013,0.024,0.17637,0.00116,2600,25,2619,11,0.7
194754,194754.1,194754.1.pdf,I,5,5.1,151,99,0.65,0.000,2.047,0.029,0.17643,0.00121,2.047,0.029,0.17643,0.00121,2564,30,2620,11,2.1
194754,194754.1,194754.1.pdf,I,6,5.2,38,35,0.92,0.123,1.955,0.052,0.17762,0.00167,1.958,0.052,0.17651,0.00179,2660,58,2620,17,-1.5
194754,194754.1,194754.1.pdf,I,23,17.2,374,230,0.61,0.039,2.054,0.018,0.17709,0.00054,2.054,0.018,0.17675,0.00056,2557,19,2623,5,2.5
194754,194754.1,194754.1.pdf,I,21,19.1,534,201,0.38,0.077,2.220,0.025,0.17771,0.00048,2.221,0.025,0.17702,0.00050,2396,23,2625,5,8.7
194754,194754.1,194754.1.pdf,I,18,16.1,59,62,1.05,0.025,2.060,0.027,0.17725,0.00131,2.061,0.027,0.17703,0.00133,2550,28,2625,12,2.9
194754,194754.1,194754.1.pdf,I,17,15.1,287,156,0.54,0.053,2.055,0.016,0.17755,0.00057,2.056,0.016,0.17707,0.00059,2555,17,2626,6,2.7
194754,194754.1,194754.1.pdf,I,2,2.1,150,76,0.51,0.069,2.057,0.020,0.17772,0.00090,2.058,0.020,0.17711,0.00093,2553,20,2626,9,2.8
194754,194754.1,194754.1.pdf,I,24,21.1,251,94,0.37,0.000,2.087,0.019,0.17734,0.00135,2.087,0.019,0.17734,0.00135,2524,20,2628,13,4.0
194754,194754.1,194754.1.pdf,I,10,8.1,91,63,0.69,0.045,2.055,0.023,0.17774,0.00102,2.056,0.023,0.17734,0.00104,2555,23,2628,10,2.8
194754,194754.1,194754.1.pdf,I,9,7.1,1447,951,0.66,0.005,1.996,0.012,0.17765,0.00026,1.996,0.012,0.17761,0.00026,2618,14,2631,2,0.5
194754,194754.1,194754.1.pdf,I,20,18.1,53,72,1.36,-0.026,2.031,0.027,0.17741,0.00134,2.031,0.027,0.17765,0.00136,2581,29,2631,13,1.9
194754,194754.1,194754.1.pdf,I,11,9.1,69,65,0.94,0.120,2.145,0.027,0.17872,0.00128,2.147,0.027,0.17765,0.00137,2465,26,2631,13,6.3
194754,194754.1,194754.1.pdf,I,14,12.1,32,29,0.92,-0.265,1.997,0.033,0.17535,0.00171,1.992,0.033,0.17771,0.00196,2622,36,2632,18,0.4
194754,194754.1,194754.1.pdf,I,12,10.1,35,30,0.84,-0.042,2.070,0.034,0.17734,0.00169,2.069,0.034,0.17771,0.00173,2542,34,2632,16,3.4
194754,194754.1,194754.1.pdf,I,22,20.1,405,138,0.34,0.023,2.055,0.017,0.17885,0.00052,2.055,0.017,0.17865,0.00053,2556,19,2640,5,3.2
194754,194754.1,194754.1.pdf,I,15,13.1,87,105,1.21,-0.137,2.088,0.023,0.17825,0.00109,2.085,0.023,0.17947,0.00117,2526,24,2648,11,4.6
195830,195830.1,195830.1.pdf,X,8,8.1,446,114,0.26,0.038,1.948,0.027,0.18033,0.00077,1.949,0.027,0.17999,0.00078,2670,30,2653,7,-0.9
195830,195830.1,195830.1.pdf,X,17,17.1,267,170,0.64,0.429,2.014,0.015,0.18440,0.00067,2.023,0.015,0.18056,0.00078,2589,17,2658,7,2.4
195830,195830.1,195830.1.pdf,X,13,13.1,144,43,0.30,0.299,2.022,0.019,0.18327,0.00146,2.028,0.020,0.18059,0.00154,2584,21,2658,14,2.6
195830,195830.1,195830.1.pdf,X,18,18.1,363,141,0.39,0.029,1.952,0.021,0.18089,0.00061,1.952,0.021,0.18063,0.00061,2666,24,2659,6,-0.5
195830,195830.1,195830.1.pdf,X,12,12.1,515,124,0.24,-0.018,1.941,0.030,0.18049,0.00109,1.940,0.030,0.18065,0.00109,2680,34,2659,10,-1.0
195830,195830.1,195830.1.pdf,X,1,1.1,158,81,0.51,0.013,1.986,0.017,0.18107,0.00080,1.987,0.017,0.18095,0.00080,2628,19,2662,7,1.1
195830,195830.1,195830.1.pdf,X,5,5.1,251,100,0.40,0.028,1.870,0.025,0.18162,0.00067,1.871,0.025,0.18137,0.00068,2761,31,2665,6,-3.8
195830,195830.1,195830.1.pdf,X,7,7.1,233,132,0.56,-0.014,1.911,0.015,0.18125,0.00070,1.910,0.015,0.18138,0.00071,2714,18,2665,6,-2.0
195830,195830.1,195830.1.pdf,X,10,10.1,363,59,0.16,0.007,1.972,0.020,0.18179,0.00173,1.972,0.020,0.18173,0.00173,2644,22,2669,16,0.7
195830,195830.1,195830.1.pdf,X,6,6.1,235,80,0.34,0.009,1.929,0.035,0.18190,0.00071,1.929,0.035,0.18182,0.00071,2692,40,2670,6,-1.0
195830,195830.1,195830.1.pdf,X,16,16.1,394,61,0.15,0.053,2.012,0.031,0.18255,0.00062,2.013,0.031,0.18208,0.00063,2600,33,2672,6,2.5
195830,195830.1,195830.1.pdf,X,11,11.1,128,60,0.47,-0.027,1.804,0.033,0.21300,0.00102,1.804,0.033,0.21324,0.00102,2843,43,2930,8,2.8
195830,195830.1,195830.1.pdf,X,2,2.1,143,70,0.49,0.006,1.637,0.014,0.22688,0.00088,1.638,0.014,0.22683,0.00088,3073,22,3030,6,-1.6
195830,195830.1,195830.1.pdf,Z,4,4.1,232,235,1.01,0.109,5.033,0.040,0.07865,0.00073,5.038,0.040,0.07773,0.00082,1167,9,1140,21,-3.0
195830,195830.1,195830.1.pdf,D,9,9.1,209,260,1.24,1.170,16.815,0.352,0.05516,0.00224,17.014,0.359,0.04588,0.00316,368,8,-8,166,2365
195830,195830.1,195830.1.pdf,D,3,3.1,54,67,1.23,0.719,4.792,0.058,0.07878,0.00120,4.827,0.060,0.07275,0.00219,1214,14,1007,61,-21.3
195830,195830.1,195830.1.pdf,D,15,15.1,315,180,0.57,0.214,2.173,0.017,0.18298,0.00113,2.177,0.017,0.18107,0.00117,2436,16,2663,11,8.3
195830,195830.1,195830.1.pdf,D,14,14.1,280,69,0.25,0.254,2.095,0.018,0.18356,0.00134,2.100,0.018,0.18128,0.00140,2510,18,2665,13,5.6
195833,195833.1,195833.1.pdf,Y,59,53.2,88,86,1.01,0.042,2.988,0.045,0.11715,0.00088,2.990,0.045,0.11678,0.00091,1860,25,1908,14,2.5
195833,195833.1,195833.1.pdf,S,17,14.2,34,26,0.81,-0.053,2.853,0.056,0.12118,0.00143,2.852,0.056,0.12164,0.00151,1938,33,1980,22,2.2
195833,195833.1,195833.1.pdf,S,7,1.2,32,64,2.04,0.110,2.766,0.055,0.12278,0.00147,2.769,0.055,0.12181,0.00162,1987,34,1983,24,-0.2
195833,195833.1,195833.1.pdf,S,65,60.1,84,73,0.89,0.198,2.741,0.048,0.12592,0.00577,2.746,0.048,0.12418,0.00581,2002,31,2017,83,0.5
195833,195833.1,195833.1.pdf,S,96,91.1,111,38,0.36,0.034,2.682,0.042,0.12500,0.00082,2.683,0.042,0.12470,0.00084,2042,27,2025,12,-0.9
195833,195833.1,195833.1.pdf,S,105,100.1,119,139,1.21,0.079,2.691,0.041,0.12544,0.00080,2.693,0.041,0.12475,0.00086,2036,27,2025,12,-0.5
195833,195833.1,195833.1.pdf,S,46,43.1,78,40,0.53,0.085,2.709,0.042,0.12560,0.00093,2.711,0.042,0.12486,0.00100,2024,27,2027,14,0.1
195833,195833.1,195833.1.pdf,S,43,40.1,132,84,0.66,0.048,2.703,0.038,0.12649,0.00071,2.705,0.038,0.12606,0.00074,2028,25,2044,10,0.8
195833,195833.1,195833.1.pdf,S,8,7.1,144,181,1.30,-0.012,2.671,0.038,0.12618,0.00072,2.671,0.038,0.12629,0.00072,2050,25,2047,10,-0.2
195833,195833.1,195833.1.pdf,S,1,1.1,31,62,2.08,-0.172,2.759,0.056,0.12545,0.00185,2.754,0.056,0.12697,0.00204,1997,36,2056,28,2.9
195833,195833.1,195833.1.pdf,S,52,49.1,105,108,1.06,0.000,2.768,0.041,0.12706,0.00083,2.768,0.041,0.12706,0.00083,1988,25,2058,12,3.4
195833,195833.1,195833.1.pdf,S,88,83.1,95,77,0.83,0.120,2.671,0.043,0.12855,0.00091,2.674,0.043,0.12750,0.00101,2048,29,2064,14,0.8
195833,195833.1,195833.1.pdf,S,56,51.2,45,37,0.84,-0.031,2.617,0.046,0.12732,0.00113,2.616,0.046,0.12759,0.00117,2087,32,2065,16,-1.0
195833,195833.1,195833.1.pdf,S,45,42.1,45,57,1.33,-0.136,2.675,0.048,0.12650,0.00120,2.671,0.048,0.12769,0.00134,2050,32,2066,19,0.8
195833,195833.1,195833.1.pdf,S,54,51.1,60,60,1.04,0.103,2.693,0.044,0.12862,0.00105,2.696,0.044,0.12771,0.00114,2034,29,2067,16,1.6
195833,195833.1,195833.1.pdf,S,122,117.1,136,129,0.98,0.136,2.645,0.040,0.12952,0.00076,2.649,0.040,0.12832,0.00085,2065,27,2075,12,0.5
195833,195833.1,195833.1.pdf,S,40,37.1,174,48,0.28,-0.040,2.471,0.034,0.14337,0.00076,2.470,0.034,0.14372,0.00077,2192,26,2272,9,3.6
195833,195833.1,195833.1.pdf,S,12,11.1,10,10,1.09,0.910,2.073,0.067,0.17345,0.00297,2.092,0.068,0.16533,0.00431,2519,70,2511,44,-0.3
195833,195833.1,195833.1.pdf,S,25,23.1,35,49,1.47,0.173,2.142,0.042,0.17134,0.00158,2.146,0.042,0.16980,0.00173,2466,41,2556,17,3.5
195833,195833.1,195833.1.pdf,S,2,2.1,27,31,1.16,0.045,1.965,0.041,0.17188,0.00173,1.966,0.041,0.17148,0.00178,2651,47,2572,17,-3.1
195833,195833.1,195833.1.pdf,S,117,112.1,12,7,0.62,0.415,1.982,0.062,0.17562,0.00264,1.990,0.063,0.17192,0.00324,2624,70,2576,31,-1.9
195833,195833.1,195833.1.pdf,S,61,56.1,45,41,0.95,0.052,2.071,0.037,0.17287,0.00134,2.072,0.037,0.17241,0.00138,2539,38,2581,13,1.6
195833,195833.1,195833.1.pdf,S,86,81.1,38,43,1.19,-0.068,2.002,0.041,0.17453,0.00154,2.001,0.041,0.17514,0.00160,2613,45,2607,15,-0.2
195833,195833.1,195833.1.pdf,S,33,30.1,160,70,0.45,0.000,2.097,0.029,0.17583,0.00075,2.097,0.029,0.17583,0.00075,2514,29,2614,7,3.8
195833,195833.1,195833.1.pdf,S,72,67.1,11,14,1.30,-0.199,2.032,0.064,0.17430,0.00260,2.028,0.064,0.17608,0.00288,2584,68,2616,27,1.0
195833,195833.1,195833.1.pdf,S,16,15.1,18,16,0.89,0.187,2.057,0.051,0.17799,0.00209,2.061,0.051,0.17632,0.00231,2550,53,2619,22,2.6
195833,195833.1,195833.1.pdf,S,31,28.1,75,73,1.00,0.063,2.056,0.032,0.17905,0.00106,2.057,0.032,0.17849,0.00109,2554,34,2639,10,3.2
195833,195833.1,195833.1.pdf,S,114,109.1,86,99,1.20,0.134,1.935,0.032,0.18003,0.00103,1.937,0.032,0.17884,0.00111,2683,37,2642,10,-1.6
195833,195833.1,195833.1.pdf,S,81,76.1,34,43,1.32,0.373,1.974,0.042,0.18281,0.00163,1.981,0.042,0.17948,0.00195,2634,46,2648,18,0.5
195833,195833.1,195833.1.pdf,S,67,62.1,29,36,1.28,0.253,1.982,0.045,0.18208,0.00176,1.987,0.046,0.17982,0.00199,2628,50,2651,18,0.7
195833,195833.1,195833.1.pdf,S,109,104.1,82,97,1.21,0.256,1.922,0.032,0.18232,0.00110,1.927,0.032,0.18003,0.00125,2695,38,2653,12,-1.6
195833,195833.1,195833.1.pdf,S,123,118.1,56,55,1.02,0.286,1.925,0.035,0.18278,0.00496,1.930,0.035,0.18023,0.00503,2691,41,2655,46,-1.3
195833,195833.1,195833.1.pdf,S,27,25.1,153,111,0.75,0.062,2.045,0.028,0.18109,0.00075,2.046,0.028,0.18054,0.00078,2565,30,2658,7,3.5
195833,195833.1,195833.1.pdf,S,83,78.1,72,43,0.62,0.247,1.941,0.034,0.18283,0.00117,1.946,0.034,0.18063,0.00132,2673,39,2659,12,-0.6
195833,195833.1,195833.1.pdf,S,98,93.1,55,32,0.60,0.200,1.932,0.036,0.18261,0.00134,1.936,0.036,0.18083,0.00149,2684,42,2661,14,-0.9
195833,195833.1,195833.1.pdf,S,39,36.1,89,57,0.66,0.000,1.951,0.030,0.18095,0.00093,1.951,0.030,0.18095,0.00093,2668,34,2662,9,-0.2
195833,195833.1,195833.1.pdf,S,119,114.1,173,124,0.74,0.048,1.986,0.029,0.18145,0.00348,1.987,0.029,0.18101,0.00349,2627,32,2662,32,1.3
195833,195833.1,195833.1.pdf,S,66,61.1,53,33,0.64,0.242,1.931,0.037,0.18334,0.00145,1.936,0.037,0.18117,0.00158,2685,42,2664,14,-1.0
195833,195833.1,195833.1.pdf,S,99,94.1,111,117,1.09,0.154,1.977,0.031,0.18283,0.00093,1.980,0.031,0.18145,0.00101,2636,35,2666,9,1.1
195833,195833.1,195833.1.pdf,S,70,65.1,52,37,0.73,0.282,1.931,0.037,0.18433,0.00125,1.937,0.037,0.18181,0.00143,2683,43,2669,13,-0.7
195833,195833.1,195833.1.pdf,S,87,82.1,143,131,0.94,0.079,1.955,0.029,0.18251,0.00080,1.957,0.029,0.18181,0.00083,2661,33,2669,8,0.3
195833,195833.1,195833.1.pdf,S,3,3.1,118,104,0.92,0.000,1.901,0.028,0.18191,0.00087,1.901,0.028,0.18191,0.00087,2724,33,2670,8,-2.0
195833,195833.1,195833.1.pdf,S,26,24.1,75,70,0.96,0.082,2.054,0.032,0.18295,0.00102,2.056,0.032,0.18222,0.00107,2555,33,2673,10,4.4
195833,195833.1,195833.1.pdf,S,107,102.1,51,42,0.83,0.022,1.953,0.036,0.18266,0.00126,1.953,0.036,0.18246,0.00128,2665,41,2675,12,0.4
195833,195833.1,195833.1.pdf,S,103,98.1,90,104,1.20,0.099,1.928,0.032,0.18357,0.00102,1.930,0.032,0.18269,0.00107,2692,37,2677,10,-0.5
195833,195833.1,195833.1.pdf,S,55,52.1,11,11,1.06,-0.098,1.910,0.057,0.18193,0.00269,1.908,0.057,0.18281,0.00283,2717,68,2678,26,-1.4
195833,195833.1,195833.1.pdf,S,53,50.1,83,53,0.67,0.000,1.941,0.030,0.18286,0.00096,1.941,0.030,0.18286,0.00096,2679,34,2679,9,0.0
195833,195833.1,195833.1.pdf,S,110,105.1,103,113,1.13,0.078,1.928,0.031,0.18360,0.00097,1.930,0.031,0.18291,0.00101,2692,36,2679,9,-0.5
195833,195833.1,195833.1.pdf,S,92,87.1,44,25,0.58,0.224,1.951,0.038,0.18493,0.00143,1.955,0.038,0.18293,0.00160,2663,43,2680,14,0.6
195833,195833.1,195833.1.pdf,S,104,99.1,31,19,0.64,0.125,1.876,0.042,0.18411,0.00174,1.878,0.042,0.18299,0.00185,2752,51,2680,17,-2.7
195833,195833.1,195833.1.pdf,S,111,106.1,60,21,0.37,0.073,1.919,0.034,0.18365,0.00115,1.921,0.034,0.18300,0.00119,2702,40,2680,11,-0.8
195833,195833.1,195833.1.pdf,S,58,54.1,61,60,1.02,0.000,1.889,0.032,0.18302,0.00122,1.889,0.032,0.18302,0.00122,2738,38,2680,11,-2.2
195833,195833.1,195833.1.pdf,S,64,59.1,14,7,0.51,0.078,1.850,0.050,0.18390,0.00240,1.852,0.050,0.18320,0.00250,2784,63,2682,23,-3.8
195833,195833.1,195833.1.pdf,S,74,69.1,39,51,1.37,0.138,1.936,0.040,0.18454,0.00145,1.939,0.040,0.18331,0.00155,2682,46,2683,14,-0.1
195833,195833.1,195833.1.pdf,S,38,35.1,109,65,0.62,-0.055,1.939,0.028,0.18308,0.00082,1.938,0.028,0.18357,0.00085,2682,32,2685,8,0.1
195833,195833.1,195833.1.pdf,S,95,90.1,47,42,0.93,0.428,2.033,0.044,0.18749,0.00180,2.042,0.044,0.18367,0.00218,2569,46,2686,20,4.4
195833,195833.1,195833.1.pdf,S,91,86.1,36,26,0.75,0.109,1.883,0.040,0.18474,0.00163,1.885,0.040,0.18377,0.00172,2743,48,2687,15,-2.1
195833,195833.1,195833.1.pdf,S,13,12.1,94,58,0.64,0.000,2.008,0.030,0.18393,0.00094,2.008,0.030,0.18393,0.00094,2605,33,2689,8,3.1
195833,195833.1,195833.1.pdf,S,113,108.1,98,67,0.71,0.085,1.944,0.031,0.18473,0.00095,1.945,0.031,0.18396,0.00100,2674,36,2689,9,0.6
195833,195833.1,195833.1.pdf,S,11,10.1,144,138,0.99,0.015,1.984,0.028,0.18414,0.00095,1.984,0.028,0.18400,0.00095,2631,31,2689,9,2.2
195833,195833.1,195833.1.pdf,S,80,75.1,91,55,0.62,0.096,1.977,0.032,0.18489,0.00100,1.979,0.032,0.18403,0.00106,2637,36,2690,9,2.0
195833,195833.1,195833.1.pdf,S,106,101.1,38,29,0.78,0.029,1.914,0.038,0.18478,0.00155,1.914,0.039,0.18452,0.00157,2709,45,2694,14,-0.6
195833,195833.1,195833.1.pdf,S,78,73.1,109,83,0.79,0.145,1.905,0.032,0.18586,0.00094,1.908,0.032,0.18457,0.00100,2716,38,2694,9,-1.0
195833,195833.1,195833.1.pdf,S,42,39.1,146,182,1.29,-0.007,1.947,0.027,0.18474,0.00073,1.947,0.027,0.18480,0.00073,2672,31,2696,7,0.9
195833,195833.1,195833.1.pdf,S,73,68.1,65,62,0.98,0.213,1.893,0.116,0.18672,0.00111,1.897,0.116,0.18481,0.00122,2729,144,2697,11,-1.4
195833,195833.1,195833.1.pdf,S,68,63.1,35,17,0.50,-0.062,1.878,0.040,0.18441,0.00153,1.876,0.040,0.18496,0.00158,2754,49,2698,14,-2.3
195833,195833.1,195833.1.pdf,S,49,46.1,82,102,1.28,-0.014,1.980,0.031,0.18511,0.00103,1.980,0.031,0.18523,0.00103,2636,34,2700,9,2.4
195833,195833.1,195833.1.pdf,S,48,45.1,86,64,0.76,0.012,2.011,0.031,0.18562,0.00097,2.012,0.031,0.18551,0.00097,2601,33,2703,9,3.8
195833,195833.1,195833.1.pdf,S,79,74.1,32,12,0.38,0.163,1.898,0.042,0.18702,0.00174,1.901,0.042,0.18556,0.00189,2725,51,2703,17,-0.8
195833,195833.1,195833.1.pdf,S,102,97.1,77,85,1.14,0.049,1.879,0.032,0.18607,0.00111,1.880,0.032,0.18564,0.00114,2749,39,2704,10,-1.7
195833,195833.1,195833.1.pdf,S,5,5.1,93,42,0.46,0.000,1.831,0.028,0.18651,0.00095,1.831,0.028,0.18651,0.00095,2809,35,2712,8,-3.6
195833,195833.1,195833.1.pdf,S,97,92.1,84,88,1.08,0.113,1.984,0.033,0.18822,0.00111,1.986,0.033,0.18721,0.00117,2629,37,2718,10,3.3
195833,195833.1,195833.1.pdf,S,118,113.1,74,37,0.52,0.089,1.896,0.032,0.18830,0.00106,1.898,0.032,0.18751,0.00111,2729,38,2720,10,-0.3
195833,195833.1,195833.1.pdf,S,75,70.1,60,52,0.90,0.190,1.903,0.036,0.18956,0.00120,1.906,0.036,0.18786,0.00130,2719,42,2724,11,0.0
195833,195833.1,195833.1.pdf,S,35,32.1,61,35,0.59,0.135,1.935,0.032,0.18932,0.00115,1.937,0.032,0.18812,0.00123,2683,36,2726,11,1.6
195833,195833.1,195833.1.pdf,S,41,38.1,85,28,0.34,0.089,1.891,0.029,0.18915,0.00100,1.893,0.029,0.18836,0.00105,2734,35,2728,9,-0.2
195833,195833.1,195833.1.pdf,S,121,116.1,58,29,0.52,0.099,1.881,0.034,0.18963,0.00123,1.883,0.034,0.18874,0.00129,2746,41,2731,11,-0.5
195833,195833.1,195833.1.pdf,S,82,77.1,94,52,0.56,0.080,1.939,0.031,0.18969,0.00439,1.941,0.031,0.18897,0.00441,2679,36,2733,38,2.0
195833,195833.1,195833.1.pdf,S,69,64.1,71,55,0.81,0.029,1.873,0.034,0.18929,0.00111,1.873,0.034,0.18903,0.00112,2758,41,2734,10,-1.1
195833,195833.1,195833.1.pdf,S,101,96.1,71,51,0.74,0.000,1.884,0.033,0.18921,0.00118,1.884,0.033,0.18921,0.00118,2745,40,2735,10,-0.3
195833,195833.1,195833.1.pdf,S,34,31.1,19,14,0.75,0.000,1.865,0.046,0.19000,0.00213,1.865,0.046,0.19000,0.00213,2767,57,2742,18,-0.9
195833,195833.1,195833.1.pdf,S,71,66.1,22,10,0.49,-0.215,1.915,0.046,0.18807,0.00185,1.911,0.046,0.19000,0.00203,2714,54,2742,18,0.8
195833,195833.1,195833.1.pdf,S,77,72.1,43,40,0.97,-0.071,1.811,0.036,0.19131,0.00141,1.810,0.036,0.19195,0.00145,2836,47,2759,12,-3.0
195833,195833.1,195833.1.pdf,S,36,33.1,83,106,1.32,-0.090,1.884,0.029,0.19485,0.00103,1.883,0.029,0.19565,0.00107,2746,35,2790,9,1.6
195833,195833.1,195833.1.pdf,S,63,58.1,46,26,0.59,0.000,1.886,0.033,0.19566,0.00128,1.886,0.033,0.19566,0.00128,2742,40,2790,11,1.7
195833,195833.1,195833.1.pdf,S,6,6.1,35,29,0.84,0.057,1.761,0.034,0.19809,0.00154,1.762,0.034,0.19758,0.00158,2898,46,2806,13,-3.3
195833,195833.1,195833.1.pdf,S,100,95.1,19,12,0.63,0.222,1.799,0.047,0.20032,0.00214,1.803,0.047,0.19835,0.00236,2844,62,2813,19,-1.1
195833,195833.1,195833.1.pdf,S,112,107.1,51,22,0.44,-0.045,1.783,0.039,0.19837,0.00135,1.782,0.039,0.19876,0.00138,2871,52,2816,11,-2.0
195833,195833.1,195833.1.pdf,S,94,89.1,47,50,1.10,0.172,1.891,0.039,0.20041,0.00170,1.895,0.039,0.19887,0.00184,2732,47,2817,15,3.0
195833,195833.1,195833.1.pdf,S,84,79.1,95,31,0.34,0.152,1.750,0.029,0.20025,0.00108,1.753,0.029,0.19890,0.00115,2910,39,2817,9,-3.3
195833,195833.1,195833.1.pdf,S,90,85.1,72,33,0.47,0.135,1.762,0.031,0.20198,0.00478,1.764,0.031,0.20078,0.00481,2895,41,2833,39,-2.2
195833,195833.1,195833.1.pdf,S,10,9.1,35,9,0.27,0.085,1.743,0.034,0.20781,0.00162,1.745,0.034,0.20705,0.00168,2921,47,2883,13,-1.3
195833,195833.1,195833.1.pdf,S,116,111.1,42,27,0.66,0.164,1.740,0.034,0.21290,0.00172,1.743,0.034,0.21144,0.00181,2923,46,2917,14,-0.2
195833,195833.1,195833.1.pdf,S,93,88.1,68,30,0.46,0.042,1.829,0.034,0.21300,0.00140,1.830,0.034,0.21262,0.00143,2811,43,2926,11,3.9
195833,195833.1,195833.1.pdf,S,76,71.1,36,28,0.80,0.024,1.683,0.035,0.21685,0.00153,1.683,0.035,0.21664,0.00154,3006,51,2956,11,-1.9
195833,195833.1,195833.1.pdf,S,51,48.1,27,11,0.43,-0.030,1.772,0.036,0.21693,0.00173,1.771,0.036,0.21720,0.00175,2886,49,2960,13,2.5
195833,195833.1,195833.1.pdf,S,115,110.1,79,56,0.73,0.025,1.686,0.028,0.22393,0.00112,1.686,0.028,0.22371,0.00113,3002,41,3008,8,0.2
195833,195833.1,195833.1.pdf,P,57,53.1,106,98,0.95,0.407,3.120,0.046,0.11668,0.00077,3.133,0.046,0.11312,0.00106,1786,23,1850,17,3.5
195833,195833.1,195833.1.pdf,D,124,53.3,114,131,1.19,0.333,3.750,0.058,0.11623,0.00100,3.763,0.059,0.11332,0.00131,1519,21,1853,21,18.0
195833,195833.1,195833.1.pdf,D,28,26.1,120,65,0.56,-0.042,3.002,0.043,0.12155,0.00074,3.000,0.043,0.12192,0.00077,1854,23,1984,11,6.6
195833,195833.1,195833.1.pdf,D,15,14.1,33,28,0.88,-0.051,2.958,0.058,0.12279,0.00142,2.957,0.058,0.12323,0.00148,1878,33,2004,21,6.3
195833,195833.1,195833.1.pdf,D,29,26.2,117,63,0.56,-0.015,2.961,0.043,0.12311,0.00078,2.961,0.043,0.12324,0.00080,1876,24,2004,11,6.4
195833,195833.1,195833.1.pdf,D,89,84.1,145,126,0.90,0.060,2.990,0.045,0.12473,0.00077,2.992,0.045,0.12421,0.00082,1859,24,2017,12,7.9
195833,195833.1,195833.1.pdf,D,30,27.1,163,155,0.98,0.023,2.956,0.041,0.12443,0.00069,2.956,0.041,0.12422,0.00070,1878,23,2018,10,6.9
195833,195833.1,195833.1.pdf,D,21,19.1,155,158,1.05,0.192,4.492,0.069,0.12792,0.00079,4.501,0.069,0.12623,0.00092,1293,18,2046,13,36.8
195833,195833.1,195833.1.pdf,D,14,13.1,290,331,1.18,0.177,6.931,0.256,0.12972,0.00071,6.944,0.256,0.12816,0.00082,867,31,2073,11,58.2
195833,195833.1,195833.1.pdf,D,50,47.1,88,216,2.53,-0.013,2.554,0.038,0.14164,0.00080,2.554,0.038,0.14176,0.00081,2130,27,2249,10,5.3
195833,195833.1,195833.1.pdf,D,60,55.1,50,58,1.18,0.074,2.586,0.046,0.17056,0.00157,2.587,0.046,0.16990,0.00164,2107,33,2557,16,17.6
195833,195833.1,195833.1.pdf,D,32,29.1,200,157,0.81,0.073,2.777,0.037,0.17750,0.00068,2.779,0.037,0.17684,0.00071,1982,23,2623,7,24.5
195833,195833.1,195833.1.pdf,D,19,17.1,65,125,2.00,-0.036,2.092,0.034,0.17977,0.00114,2.091,0.034,0.18009,0.00117,2519,35,2654,11,5.1
195833,195833.1,195833.1.pdf,D,85,80.1,191,225,1.22,0.068,2.304,0.033,0.18101,0.00076,2.305,0.033,0.18041,0.00079,2323,28,2657,7,12.6
195833,195833.1,195833.1.pdf,D,9,8.1,257,175,0.70,0.269,4.407,0.057,0.18409,0.00076,4.419,0.058,0.18169,0.00093,1315,16,2668,9,50.7
195833,195833.1,195833.1.pdf,D,37,34.1,96,119,1.28,0.012,2.129,0.032,0.18215,0.00094,2.129,0.032,0.18205,0.00095,2482,31,2672,9,7.1
195833,195833.1,195833.1.pdf,D,108,103.1,13,14,1.12,0.392,1.789,0.058,0.18627,0.00269,1.797,0.059,0.18277,0.00322,2853,77,2678,29,-6.5
